rank,run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,status
51,srm__id031__tr4__trefr8__vth0p7__lr0p0008__a8__ig1__ls0p8,srm,0.9754,0.9752118477129884,78025798000.0,0.9742,0.9739947576941348,77915556500.0,DONE
52,alif__id026__tau3__vth0p3__lr0p0008__a4__ig1p2__ls0p8,alif,0.9753,0.9751304726903116,78637438500.0,0.9731,0.9728477585524418,78530495500.0,DONE
53,lif__id019__tau4__vth0p5__lr0p0005__a6__ig1p5__ls1,lif,0.9753,0.9751197329283632,78863424000.0,0.9735,0.9733695461289822,78854533000.0,DONE
54,srm__id041__tr1p5__trefr10__vth0p7__lr0p001__a6__ig0p8__ls1p2,srm,0.9753,0.97510072326885,80281901000.0,0.9745,0.9742944863967284,80272949000.0,DONE
55,lif__id010__tau2__vth0p7__lr0p001__a4__ig0p8__ls1p2,lif,0.9753,0.9750741309933396,77534616000.0,0.9744,0.9741757544522248,77538414500.0,DONE
56,srm__id047__tr2p5__trefr16__vth0p3__lr0p0008__a4__ig1p2__ls1,srm,0.9752,0.974965238897709,81594992500.0,0.9731,0.9728483872449022,81583797000.0,DONE
57,lif__id002__tau4__vth0p3__lr0p0005__a6__ig1__ls1,lif,0.9751,0.9749265443760472,78780817500.0,0.9738,0.973621140732688,78774075500.0,DONE
58,srm__id025__tr3__trefr10__vth0p5__lr0p001__a6__ig1p5__ls1p2,srm,0.975,0.974777486285178,78367921000.0,0.974,0.9737827169416424,78280665000.0,DONE
59,alif__id034__tau4__vth0p5__lr0p0005__a6__ig1__ls1,alif,0.9749,0.9747579872573996,80113946500.0,0.9741,0.9739725913771028,80106592500.0,DONE
60,dynsrm__id038__tr3__trefr8__vth0p5__lr0p0005__a6__ig1__ls1p2,dynsrm,0.9749,0.9746981533037348,79207799500.0,0.9729,0.9726156332029384,79162875500.0,DONE
61,srm__id035__tr4__trefr10__vth0p7__lr0p0005__a6__ig1__ls0p8,srm,0.9748,0.9746378983010712,79946142500.0,0.9736,0.9734393755707896,79911307000.0,DONE
62,srm__id002__tr2p5__trefr8__vth1__lr0p0005__a4__ig1p5__ls1p2,srm,0.9747,0.9745856476770282,83454497500.0,0.9742,0.9740655344910608,83366394500.0,DONE
63,lif__id004__tau4__vth0p3__lr0p0008__a8__ig1__ls1p2,lif,0.9747,0.97447136746717,77454409000.0,0.9745,0.9741933822258276,77446536500.0,DONE
64,dynsrm__id023__tr3__trefr12__vth0p7__lr0p0005__a6__ig1__ls1,dynsrm,0.9745,0.974352573882688,80216625000.0,0.9731,0.9729457674910572,80212456000.0,DONE
65,dynsrm__id018__tr4__trefr10__vth0p3__lr0p001__a6__ig1__ls0p8,dynsrm,0.9745,0.9742518602114322,78328942000.0,0.9735,0.973263447167308,78325963500.0,DONE
66,lif__id014__tau3__vth0p5__lr0p0005__a4__ig1p5__ls1,lif,0.9744,0.9742457060901962,79156077500.0,0.9728,0.9725998964623196,79140432500.0,DONE
67,alif__id023__tau4__vth0p3__lr0p0005__a6__ig1__ls0p8,alif,0.9743,0.9741211606672872,78939584000.0,0.9736,0.9734153141134214,78858764000.0,DONE
68,alif__id010__tau2p5__vth0p5__lr0p0008__a6__ig1p2__ls1p2,alif,0.9741,0.9738934149960812,77115492000.0,0.9731,0.9728616046878577,77111268000.0,DONE
69,lif__id001__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls0p8,lif,0.974,0.973819615599045,77301629000.0,0.9731,0.9729236553016768,77188519500.0,DONE
70,alif__id029__tau2p5__vth0p7__lr0p0008__a8__ig1p2__ls1,alif,0.9739,0.9737995390420348,76911245500.0,0.973,0.9728598568489268,76908015500.0,DONE
71,srm__id005__tr1p5__trefr8__vth0p7__lr0p0005__a8__ig1__ls0p8,srm,0.9739,0.9736434553689852,79168476000.0,0.9735,0.9732650390409572,79159533500.0,DONE
72,srm__id037__tr3__trefr10__vth1__lr0p0008__a6__ig0p8__ls0p8,srm,0.9738,0.9736262019699548,81298219500.0,0.9727,0.9725197817934716,81292907000.0,DONE
73,srm__id007__tr2p5__trefr10__vth0p5__lr0p001__a8__ig1p5__ls1,srm,0.9738,0.9735279913270832,77607456500.0,0.9726,0.9723511826020552,77573123500.0,DONE
74,dynsrm__id013__tr2p5__trefr10__vth0p5__lr0p0005__a4__ig1__ls0p8,dynsrm,0.9737,0.973503033900605,83204217000.0,0.9733,0.9731458551789528,82992615500.0,DONE
75,srm__id044__tr3__trefr8__vth1__lr0p0005__a4__ig0p8__ls1p2,srm,0.9736,0.9734549972338484,86277376500.0,0.9735,0.9733236719873696,86268864000.0,DONE
76,srm__id011__tr4__trefr16__vth0p5__lr0p001__a6__ig1p5__ls1,srm,0.9736,0.973372609505026,78202726000.0,0.9729,0.9726455603684692,78199246500.0,DONE
77,srm__id001__tr1p5__trefr8__vth0p7__lr0p001__a4__ig1__ls0p8,srm,0.9735,0.9733265953031152,83284051000.0,0.9715,0.9712973230478068,83271767000.0,DONE
78,lif__id012__tau3__vth0p3__lr0p0008__a4__ig1p2__ls1p2,lif,0.9735,0.9732493547203508,78102822000.0,0.973,0.9727671122837056,78038582500.0,DONE
79,lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1,lif,0.9734,0.9732081146701704,76982399000.0,0.9727,0.9724717847144524,76983297500.0,DONE
80,alif__id013__tau4__vth0p3__lr0p0008__a6__ig1p5__ls1p2,alif,0.9734,0.9731778890147432,77877708500.0,0.9731,0.972918184378679,77810942000.0,DONE
81,dynsrm__id037__tr2p5__trefr8__vth0p5__lr0p001__a8__ig1p2__ls1,dynsrm,0.9734,0.9731211526193244,77488437500.0,0.9724,0.9721304432622156,77487076000.0,DONE
82,srm__id015__tr4__trefr8__vth0p3__lr0p0005__a4__ig0p8__ls1p2,srm,0.9733,0.9731125263888736,81455489500.0,0.9727,0.9725265028737488,81457514000.0,DONE
83,lif__id008__tau3__vth0p7__lr0p001__a8__ig1p5__ls1p2,lif,0.9733,0.9730801983690822,77008984500.0,0.9726,0.9723317231284944,76967311500.0,DONE
84,dynsrm__id025__tr1p5__trefr8__vth0p7__lr0p0005__a6__ig1p2__ls0p8,dynsrm,0.9733,0.97306103238928,80379014500.0,0.9727,0.9724558313272024,80372917000.0,DONE
85,srm__id022__tr3__trefr6__vth1__lr0p0005__a8__ig1p2__ls1,srm,0.9732,0.9730310909084784,78268540000.0,0.973,0.9727997222190714,78267557000.0,DONE
86,lif__id021__tau3__vth0p5__lr0p0005__a6__ig0p8__ls0p8,lif,0.973,0.972842266863724,79506665000.0,0.9721,0.971909717198434,79500424000.0,DONE
87,dynsrm__id042__tr1p5__trefr8__vth0p7__lr0p0005__a8__ig0p8__ls1,dynsrm,0.9728,0.9726195250727028,79614741500.0,0.9716,0.9714218918339484,79613345000.0,DONE
88,alif__id012__tau2p5__vth0p3__lr0p0008__a6__ig0p8__ls1,alif,0.9728,0.9725990399555986,77336318500.0,0.9723,0.972013680707359,77233406000.0,DONE
89,dynsrm__id019__tr4__trefr10__vth0p7__lr0p0008__a8__ig1p5__ls1p2,dynsrm,0.9728,0.9725785584705424,77803850500.0,0.9722,0.9719710655085148,77776707000.0,DONE
90,lif__id011__tau2p5__vth0p5__lr0p0008__a8__ig0p8__ls1,lif,0.9728,0.9725664786330376,76998675000.0,0.9728,0.9725664786330376,76998675000.0,DONE
91,dynsrm__id010__tr2p5__trefr12__vth1__lr0p0005__a8__ig1p5__ls0p8,dynsrm,0.9727,0.9725741314688328,78784198000.0,0.971,0.9708337121608884,78775937500.0,DONE
